level,checkIntervalSec,baseProbability,probabilityGainPerFail,maxProbability,popFactor
#学院RP生产参数：每 level 一行。checkIntervalSec=判定间隔(秒,多学院时除以数量;popFactor=人口概率系数;baseProbability=基础产出概率(0~1);probabilityGainPerFail=每次失败增加的概率(保底积累速度);maxProbability=概率上限(保底线);popFactor=人口对概率的影响系数(0~2;0=无影响;1=满人口时概率翻倍))
1,3600,0.10,0.02,0.30,0.5
2,3300,0.11,0.02,0.32,0.5
3,3000,0.12,0.025,0.35,0.5
4,2700,0.13,0.025,0.40,0.5
5,2400,0.14,0.03,0.45,0.5
6,2100,0.15,0.03,0.50,0.5
7,1800,0.16,0.035,0.55,0.5
8,1500,0.17,0.035,0.60,0.5
9,1200,0.18,0.04,0.65,0.5
10,900,0.20,0.04,0.70,0.5

