rosterId,name,tribe,persona,seed,warmupHours
#固定槽位,玩家名,部族,人格代码,确定性随机种子,预热小时
ai-01,北境行商,romans,merchant,104729,48
ai-02,河湾拓荒者,gauls,pioneer,130363,52
ai-03,赤岩守望,teutons,raider,155921,56
ai-04,白桦旅人,gauls,cooperator,181081,60
ai-05,晨星农夫,romans,pioneer,205759,64
ai-06,铁炉山民,teutons,pioneer,230761,68
ai-07,青麦商队,gauls,merchant,256019,72
ai-08,灰狼斥候,teutons,raider,281117,49
ai-09,长风领主,romans,pioneer,306239,53
ai-10,松林客,gauls,cooperator,331777,57
ai-11,铜币商人,romans,merchant,357031,61
ai-12,黑槲猎手,teutons,raider,382163,65
ai-13,南丘垦户,gauls,pioneer,407369,69
ai-14,石桥货栈,romans,merchant,432503,71
ai-15,霜斧部族,teutons,raider,457681,55
ai-16,湖畔农庄,romans,pioneer,482849,63
