code,level,costWood,costClay,costIron,costCrop,costGold,timeSec,popCap,prod,treasureSlots,storagePerLevel,defensePerLevel,buildSpeedupPerLevel,trainTimeReducePerLevel,trainCostReducePerLevel,taskRefreshSec,taskMaxTasks,taskSideQuestChance,vaultProtectWood,vaultProtectClay,vaultProtectIron,vaultProtectCrop,vaultProtectGold
#建筑逐级参数（v4 逐等级独立数值；由 scripts/gen-building-levels.mjs 从旧公式基数快照生成）。code=建筑代码,level=等级(1..maxLevel),cost*=升/建到该级的花费,timeSec=耗时(秒),popCap=该级相对上一级的人口上限增量贡献(硬上限=Σ1..当前等级popCap),prod=仅资源田填该级产量/小时,storagePerLevel(仓库/粮仓容量增量,余空),defensePerLevel(城墙防御增量),buildSpeedupPerLevel(主基地建造加速),trainTimeReducePerLevel(军事建筑训练加速),trainCostReducePerLevel(军事建筑训练降费),treasureSlots=该级相对上一级的宝物栏槽位增量贡献(仅宝库treasury有值;非宝库留空;总槽位=主基地基础1+Σ1..当前等级treasureSlots),taskRefreshSec=酒馆专属·随机任务刷新间隔(秒;非酒馆留空),taskMaxTasks=酒馆专属·可同时接取的随机任务上限(非酒馆留空),taskSideQuestChance=酒馆每个任务槽刷新支线任务的概率(0..1;非酒馆留空),vaultProtect*=保险库该等级新增保护量(每级累加;仅vault填写)
main,1,59,59,44,30,1,94,10,,,,0,0,,,,,,,,,,
main,2,105,84,84,63,2,339,2,,,,0.05,0.05,,,,,,,,,,
main,3,196,168,140,84,3,717,2,,,,0.05,0.05,,,,,,,,,,
main,4,329,288,247,164,5,1221,3,,,,0.05,0.05,,,,,,,,,,
warehouse,1,79,79,59,39,1,125,2,,400,1000,,,,,,,,,,,,
warehouse,2,140,112,112,84,2,451,1,,400,1500,,,,,,,,,,,,
warehouse,3,261,224,187,112,4,956,1,,400,2500,,,,,,,,,,,,
warehouse,4,439,384,329,220,7,1627,1,,400,4000,,,,,,,,,,,,
warehouse,5,800,655,582,364,12,2459,1,,400,6000,,,,,,,,,,,,
warehouse,6,1367,1172,977,684,21,3446,1,,400,9000,,,,,,,,,,,,
warehouse,7,2406,2005,1738,1203,37,4583,2,,400,13000,,,,,,,,,,,,
warehouse,8,4169,3625,3081,1994,64,5867,2,,400,18000,,,,,,,,,,,,
warehouse,9,7256,6256,5505,3503,113,7295,2,,400,24000,,,,,,,,,,,,
warehouse,10,12679,10966,9595,6168,197,8865,2,,400,32000,,,,,,,,,,,,
granary,1,79,79,59,39,1,125,2,,400,1000,,,,,,,,,,,,
granary,2,140,112,112,84,2,451,1,,400,1500,,,,,,,,,,,,
granary,3,261,224,187,112,4,956,1,,400,2500,,,,,,,,,,,,
granary,4,439,384,329,220,7,1627,1,,400,4000,,,,,,,,,,,,
granary,5,800,655,582,364,12,2459,1,,400,6000,,,,,,,,,,,,
granary,6,1367,1172,977,684,21,3446,1,,400,9000,,,,,,,,,,,,
granary,7,2406,2005,1738,1203,37,4583,2,,400,13000,,,,,,,,,,,,
granary,8,4169,3625,3081,1994,64,5867,2,,400,18000,,,,,,,,,,,,
granary,9,7256,6256,5505,3503,113,7295,2,,400,24000,,,,,,,,,,,,
granary,10,12679,10966,9595,6168,197,8865,2,,400,32000,,,,,,,,,,,,
barracks,1,98,98,74,49,2,157,3,,,,,0,0,0,,,,,,,,
barracks,2,175,140,140,105,3,564,1,,,,,0.05,0.03,0.03,,,,,,,,
barracks,3,327,280,233,140,5,1195,1,,,,,0.05,0.03,0.03,,,,,,,,
barracks,4,549,480,412,275,9,2034,1,,,,,0.05,0.03,0.03,,,,,,,,
barracks,5,1000,818,727,455,15,3074,1,,,,,0.05,0.03,0.03,,,,,,,,
barracks,6,1710,1466,1221,855,26,4307,1,,,,,0.05,0.03,0.03,,,,,,,,
barracks,7,3008,2507,2173,1504,46,5728,2,,,,,0.05,0.03,0.03,,,,,,,,
barracks,8,5210,4531,3851,2492,80,7334,2,,,,,0.05,0.03,0.03,,,,,,,,
barracks,9,9070,7819,6881,4379,141,9119,2,,,,,0.05,0.03,0.03,,,,,,,,
barracks,10,15849,13707,11994,7710,246,11082,2,,,,,0.05,0.03,0.03,,,,,,,,
stable,1,108,108,81,54,2,172,3,,,,,0,0,0,,,,,,,,
stable,2,193,154,154,116,3,621,1,,,,,0.05,0.03,0.03,,,,,,,,
stable,3,360,309,257,154,5,1314,1,,,,,0.05,0.03,0.03,,,,,,,,
stable,4,604,529,453,302,9,2238,1,,,,,0.05,0.03,0.03,,,,,,,,
stable,5,1100,900,800,500,17,3381,1,,,,,0.05,0.03,0.03,,,,,,,,
stable,6,1881,1612,1343,940,29,4738,1,,,,,0.05,0.03,0.03,,,,,,,,
stable,7,3309,2758,2390,1655,51,6301,1,,,,,0.05,0.03,0.03,,,,,,,,
stable,8,5731,4984,4236,2741,88,8067,2,,,,,0.05,0.03,0.03,,,,,,,,
stable,9,9977,8601,7569,4817,155,10031,2,,,,,0.05,0.03,0.03,,,,,,,,
stable,10,17433,15077,13193,8481,271,12190,2,,,,,0.05,0.03,0.03,,,,,,,,
workshop,1,118,118,89,59,2,188,3,,,,,0,0,0,,,,,,,,
workshop,2,210,168,168,126,3,677,1,,,,,0.05,0.03,0.03,,,,,,,,
workshop,3,392,336,280,168,6,1434,1,,,,,0.05,0.03,0.03,,,,,,,,
workshop,4,659,577,494,330,10,2441,1,,,,,0.05,0.03,0.03,,,,,,,,
workshop,5,1200,982,873,545,18,3689,2,,,,,0.05,0.03,0.03,,,,,,,,
workshop,6,2052,1759,1466,1026,32,5169,2,,,,,0.05,0.03,0.03,,,,,,,,
workshop,7,3609,3008,2607,1805,55,6874,2,,,,,0.05,0.03,0.03,,,,,,,,
workshop,8,6252,5437,4621,2990,97,8800,2,,,,,0.05,0.03,0.03,,,,,,,,
workshop,9,10885,9383,8257,5255,169,10943,2,,,,,0.05,0.03,0.03,,,,,,,,
workshop,10,19019,16449,14392,9252,296,13298,3,,,,,0.05,0.03,0.03,,,,,,,,
smithy,1,108,108,81,54,2,172,3,,,,,,,,,,,,,,,
smithy,2,193,154,154,116,3,621,1,,,,,,,,,,,,,,,
smithy,3,360,309,257,154,5,1314,1,,,,,,,,,,,,,,,
smithy,4,604,529,453,302,9,2238,1,,,,,,,,,,,,,,,
smithy,5,1100,900,800,500,17,3381,2,,,,,,,,,,,,,,,
smithy,6,1881,1612,1343,940,29,4738,2,,,,,,,,,,,,,,,
smithy,7,3309,2758,2390,1655,51,6301,2,,,,,,,,,,,,,,,
smithy,8,5731,4984,4236,2741,88,8067,2,,,,,,,,,,,,,,,
smithy,9,9977,8601,7569,4817,155,10031,2,,,,,,,,,,,,,,,
smithy,10,17433,15077,13193,8481,271,12190,2,,,,,,,,,,,,,,,
wall,1,98,98,74,49,2,157,2,,,0.03,0.03,,,,,,,,,,,
wall,2,175,140,140,105,3,564,0,,,0.03,0.03,,,,,,,,,,,
wall,3,327,280,233,140,5,1195,0,,,0.03,0.03,,,,,,,,,,,
wall,4,549,480,412,275,9,2034,0,,,0.03,0.03,,,,,,,,,,,
wall,5,1000,818,727,455,15,3074,1,,,0.03,0.03,,,,,,,,,,,
wall,6,1710,1466,1221,855,26,4307,1,,,0.03,0.03,,,,,,,,,,,
wall,7,3008,2507,2173,1504,46,5728,1,,,0.03,0.03,,,,,,,,,,,
wall,8,5210,4531,3851,2492,80,7334,1,,,0.03,0.03,,,,,,,,,,,
wall,9,9070,7819,6881,4379,141,9119,1,,,0.03,0.03,,,,,,,,,,,
wall,10,15849,13707,11994,7710,246,11082,1,,,0.03,0.03,,,,,,,,,,,
rallypoint,1,69,69,52,34,1,110,2,,,,,,,,,,,,,,,
rallypoint,2,123,98,98,74,2,395,0,,,,,,,,,,,,,,,
rallypoint,3,229,197,164,98,3,836,0,,,,,,,,,,,,,,,
rallypoint,4,384,336,288,192,6,1424,1,,,,,,,,,,,,,,,
rallypoint,5,700,573,509,318,11,2152,1,,,,,,,,,,,,,,,
rallypoint,6,1197,1026,855,598,18,3015,1,,,,,,,,,,,,,,,
rallypoint,7,2105,1754,1520,1053,32,4010,1,,,,,,,,,,,,,,,
rallypoint,8,3648,3172,2696,1745,56,5134,1,,,,,,,,,,,,,,,
rallypoint,9,6349,5473,4817,3065,99,6383,1,,,,,,,,,,,,,,,
rallypoint,10,11094,9594,8395,5397,172,7757,1,,,,,,,,,,,,,,,
woodcutter,1,69,69,52,34,1,110,2,1000,,,,,,,,,,,,,,
woodcutter,2,123,98,98,74,2,395,1,1300,,,,,,,,,,,,,,
woodcutter,3,229,197,164,98,3,836,1,1690,,,,,,,,,,,,,,
woodcutter,4,384,336,288,192,6,1424,1,2197,,,,,,,,,,,,,,
woodcutter,5,700,573,509,318,11,2152,1,2856,,,,,,,,,,,,,,
woodcutter,6,1197,1026,855,598,18,3015,1,3713,,,,,,,,,,,,,,
woodcutter,7,2105,1754,1520,1053,32,4010,2,4827,,,,,,,,,,,,,,
woodcutter,8,3648,3172,2696,1745,56,5134,2,6275,,,,,,,,,,,,,,
woodcutter,9,6349,5473,4817,3065,99,6383,2,8157,,,,,,,,,,,,,,
woodcutter,10,11094,9594,8395,5397,172,7757,2,10604,,,,,,,,,,,,,,
claypit,1,69,69,52,34,1,110,2,1000,,,,,,,,,,,,,,
