id,code,tribe,name,icon,form,attack,defense,speed,carry,upkeep,costWood,costClay,costIron,costCrop,trainSec,building,traits,popCost,goldCost,commandCost,contractSec,tier,hp,simTraits,role
#数字ID,代码,部族,显示名,图标,形态(仅展示),攻击,防御,速度,负重,耗粮,木,泥,铁,粮,训练秒,建筑,非战斗展示标签,人口,金币价,统御占用,合同秒数,档位,生命值,保留列
1,merc_slinger,merc,佣兵投石手,unit_merc_slinger,ranged,35,15,6,10,0,0,0,0,0,0,,,0,60,1,259200,1,80,,infantry
2,merc_spearman,merc,佣兵长矛兵,unit_merc_spearman,melee,30,25,5,30,0,0,0,0,0,0,,,0,75,1,259200,1,95,,infantry
3,merc_archer,merc,佣兵弓手,unit_merc_archer,ranged,45,25,11,15,0,0,0,0,0,0,,,0,120,2,259200,2,80,,infantry
4,merc_sword,merc,佣兵剑士,unit_merc_sword,melee,50,35,6,30,0,0,0,0,0,0,,,0,135,2,259200,2,100,,infantry
5,merc_cavalry,merc,佣兵骑兵,unit_merc_cavalry,melee,55,45,12,50,0,0,0,0,0,0,,,0,180,2,259200,2,120,,cavalry
6,merc_axe,merc,佣兵斧兵,unit_merc_axe,melee,70,40,5,40,0,0,0,0,0,0,,,0,240,3,259200,3,100,,infantry
7,merc_crossbow,merc,佣兵弩手,unit_merc_crossbow,ranged,65,35,5,20,0,0,0,0,0,0,,,0,270,3,259200,3,90,,infantry
8,merc_knight,merc,佣兵骑士,unit_merc_knight,melee,90,70,11,70,0,0,0,0,0,0,,,0,360,3,259200,3,140,,cavalry
9,merc_berserker,merc,狂战士,unit_merc_berserker,melee,120,60,7,50,0,0,0,0,0,0,,,0,480,4,259200,4,130,,infantry
10,merc_champion,merc,精锐卫队,unit_merc_champion,melee,150,120,8,90,0,0,0,0,0,0,,,0,660,5,,,170,,infantry
