targetId,unitCode,name,count,form,attack,defense,carry,hp,traits
#所属野怪类型(野怪数字ID),守军兵种代码,显示名,数量,形态(仅展示),攻击,防御,负重,生命值,非战斗展示标签
1,rat,老鼠,10,melee,5,10,0,10,
2,wolf,野狼,20,melee,20,30,0,28,
3,bandit,强盗,40,melee,40,30,0,30,
3,banditArcher,强盗弓手,20,ranged,30,40,0,30,
4,mercGuard,雇佣卫兵,80,melee,60,65,0,60,
4,mercArcher,雇佣弓手,35,ranged,45,55,0,42,
5,barbarian,蛮族勇士,120,melee,85,80,0,78,
5,barbarianArcher,蛮族弓手,55,ranged,60,65,0,52,
6,fortressGuard,要塞卫兵,200,melee,110,100,0,95,
6,fortressArcher,要塞弓手,80,ranged,80,80,0,65,
7,darkKnight,黑暗骑士,300,melee,150,140,0,130,
7,darkArcher,黑暗弓手,120,ranged,110,100,0,80,
8,boneChampion,骷髅武士,450,melee,200,180,0,170,
8,boneArcher,骷髅弓手,180,ranged,150,140,0,110,
8,boneGiant,骷髅巨人,60,melee,280,300,0,275,
99,campGuard,营地卫兵,15,melee,30,30,10,30,
99,campArcher,营地弓手,8,ranged,25,30,0,22,
101,capitalGuard,王都禁卫,600,melee,220,240,0,230,
101,capitalArcher,王都弓手,300,ranged,190,210,0,175,
101,capitalKnight,王都骑士,120,melee,320,280,0,265,
102,fiefGuardNe,东北封地卫队,260,melee,170,180,0,170,
102,fiefArcherNe,东北封地弓手,120,ranged,140,150,0,125,
102,fiefKnightNe,东北封地骑士,40,melee,240,210,0,195,
103,fiefGuardSe,东南封地卫队,260,melee,170,180,0,170,
103,fiefArcherSe,东南封地弓手,120,ranged,140,150,0,125,
103,fiefKnightSe,东南封地骑士,40,melee,240,210,0,195,
104,fiefGuardSw,西南封地卫队,260,melee,170,180,0,170,
104,fiefArcherSw,西南封地弓手,120,ranged,140,150,0,125,
104,fiefKnightSw,西南封地骑士,40,melee,240,210,0,195,
105,fiefGuardNw,西北封地卫队,260,melee,170,180,0,170,
105,fiefArcherNw,西北封地弓手,120,ranged,140,150,0,125,
105,fiefKnightNw,西北封地骑士,40,melee,240,210,0,195,
106,clubswinger,掠袭棍兵,15,melee,82.37,58.79,0,152.45,4|20
107,mercGuard,雇佣卫兵,8,melee,60,65,0,60,
107,mercArcher,雇佣弓手,3,ranged,45,55,0,42,
