id,targetId,q,r
#刷新点标识(实例ID,勿改),野怪类型(野怪数字ID),六边形轴坐标q,六边形轴坐标r
pve-0,1,3,1
pve-1,1,-2,3
pve-2,2,5,-4
pve-3,2,-6,-2
pve-4,3,8,6
pve-5,3,-9,7
pve-6,1,0,4
pve-7,1,4,-2
pve-8,1,-3,5
pve-9,1,5,0
pve-10,1,-4,0
pve-11,1,2,3
pve-12,2,6,-3
pve-13,2,-5,-2
pve-14,2,0,7
pve-15,2,7,-4
pve-16,2,-6,2
pve-17,2,3,4
pve-18,3,9,-4
pve-19,3,-8,3
pve-20,3,0,10
pve-21,3,8,-8
pve-22,3,-9,-2
pve-23,3,5,5
pve-24,4,12,-6
pve-25,4,-11,4
pve-26,4,0,13
pve-27,4,11,-11
pve-28,4,-6,-6
pve-29,5,14,-7
pve-30,5,-13,5
pve-31,5,0,15
pve-32,5,13,-13
pve-33,5,-7,-7
pve-34,6,16,-8
pve-35,6,-15,6
pve-36,6,0,17
pve-37,6,-8,-8
pve-38,7,18,-9
pve-39,7,-17,8
pve-40,7,9,9
pve-41,7,-9,-9
pve-42,8,20,-10
pve-43,8,-19,9
