id,questCode,phase,group,kind,value
#稳定条件ID,任务代码,生效阶段,条件组,条件类型,参数
c-s1-tavern-refresh,s1,offer,all,tavern_refresh,1
c-s2-troops,s2,offer,all,troops_reached,20
c-villager-pve,s3,offer,all,pve_camp_cleared,1
c-investigate-note,s4,offer,all,secret_note_used,1
c-m1-clean,m1,success,any,no_damaged_resource_level,woodcutter|claypit|ironmine|cropland
c-m11-mainbase,m11,offer,all,main_base_level,2
c-m12-council,m12,offer,all,building_level,council:1
c-m13-effort,m13,offer,all,treasure_used,my_effort
c-s5-tavern-refresh,s5,offer,all,tavern_refresh,1
c-s5-mainbase,s5,offer,all,main_base_level,2
c-s6-tavern-refresh,s6,offer,all,tavern_refresh,1
c-s7-ticket,s7,offer,all,treasure_used,dice_tournament_ticket
c-s10-tavern,s10,offer,all,tavern_refresh,1
c-s10-base,s10,offer,all,main_base_level,2
c-s14-branch,s14,offer,all,branch_selected,trade
c-s17-branch,s17,offer,all,branch_selected,military
c-s20-branch,s20,offer,all,branch_selected,explore
c-s23-fragment,s23,offer,all,sanctum_offer,fragment
c-s24-active,s24,offer,all,sanctum_offer,active
c-s25-qualified,s25,offer,all,sanctum_offer,qualified
c-s26-discovered,s26,offer,all,sanctum_offer,discovered
c-s27-briefed,s27,offer,all,sanctum_offer,briefed
c-s28-occupied,s28,offer,all,sanctum_offer,occupied
c-s29-artifact,s29,offer,all,sanctum_offer,artifact
