id,fromQuest,toQuest,relation,order
#稳定关系ID,起点任务,终点任务,关系类型,展示顺序
q-m1-m2,m1,m2,requires,1
q-m2-m3,m2,m3,requires,1
q-m3-m4,m3,m4,requires,1
q-m4-m5,m4,m5,requires,1
q-m5-m6,m5,m6,requires,1
q-m6-m7,m6,m7,requires,1
q-m7-m8,m7,m8,requires,1
q-m8-m9,m8,m9,requires,1
q-m9-m10,m9,m10,requires,1
q-m11-m12,m11,m12,requires,1
q-m12-m16,m12,m16,requires,1
q-m13-m14,m13,m14,requires,1
q-m14-m15,m14,m15,requires,1
q-villager-investigate,s3,s4,failure_unlock,1
q-s6-s7,s6,s7,requires,1
q-s7-s8,s7,s8,requires,1
q-s8-s9,s8,s9,requires,1
