id,questCode,phase,kind,params,order
#稳定效果ID,任务代码,触发阶段,效果类型,参数,同阶段顺序
e-m1-res,m1,deliver,grant_resources,wood:100|clay:100|iron:100|crop:100,1
e-m2-res,m2,deliver,grant_resources,wood:150|clay:150|iron:150,1
e-m3-pop,m3,deliver,grant_population,5,1
e-m4-res,m4,deliver,grant_resources,gold:40,1
e-m5-pop-growth,m5,deliver,grant_population_growth,10:86400,1
e-d1-res,d1,deliver,grant_resources,gold:40,1
e-d2-res,d2,deliver,grant_resources,gold:80,1
e-d3-res,d3,deliver,grant_resources,gold:60,1
e-s1-altar,s1,deliver,grant_treasure,ritual_altar,1
e-s2-flag,s2,deliver,grant_treasure,victory_flag,1
e-villager-natalie,s3,deliver,grant_treasure,natalie,1
e-villager-natalie-reputation,s3,deliver,adjust_reputation,-1,2
e-villager-note,s3,failure,grant_treasure,secret_note,1
e-investigate-choice,s4,success,natalie_choice,captured_natalies|store:natalie|release:honest_heart|gold:500,1
e-investigate-store-reputation,s4,failure,adjust_reputation,-2,2
e-m6-res,m6,deliver,grant_resources,wood:200|clay:200|iron:200|crop:200,1
e-m7-tech,m7,deliver,grant_research_points,3,1
e-m8-medal,m8,deliver,grant_treasure,iron_wall_medal,1
e-m9-success,m9,deliver,grant_population_m8_success,5,1
e-m9-failure,m9,deliver,grant_treasure_m8_failure,iron_wall_medal,2
e-m10-resource-growth,m10,deliver,grant_resource_growth,25:43200,1
e-m11-unlock-buildings,m11,deliver,unlock_buildings,alliance_hall|council,1
e-m12-gold,m12,deliver,grant_resources,gold:50,1
e-m12-reputation,m12,deliver,adjust_reputation,5,2
e-m13-reward,m13,deliver,grant_treasure,black_badge,1
e-m14-reputation-mercenaries,m14,deliver,grant_mercenaries_by_positive_reputation,merc_sword:2,1
e-m15-research,m15,deliver,grant_research_points,10,1
e-m15-crop-growth,m15,deliver,grant_resource_growth,crop:25:86400,2
e-s5-rope,s5,deliver,grant_treasure,horse_rope,1
e-s6-ticket,s6,deliver,grant_treasure,dice_tournament_ticket,1
e-s7-gold,s7,deliver,grant_resources,gold:300,1
e-s8-gold,s8,deliver,grant_resources,gold:400,1
e-s8-trophy,s8,deliver,grant_treasure,dice_trophy,2
