id,code,name,branch,tier,doctrineGroup,mainBaseLevel,requires,desc,scope,durationSec,rpCost,icon
#数字ID,代码标识,显示名,流派,层级,T2互斥纲领组,主基地等级,前置科技,简介,作用域,耗时秒,RP,图标
1,military_drill,军备操典,military,1,,1,,军队攻防基础训练,village,900,2,tech_infantry
2,standing_army,常备军,military,2,military,2,military_drill,训练加速但军队维持压力上升,player,1800,5,tech_formation
3,rapid_march,急行军,military,2,military,2,military_drill,仅出征掠夺行军速度+25%且粮耗+50%,player,1800,5,tech_logistics
4,formation_doctrine,阵列战术,military,3,,3,standing_army,全军近战攻防强化,player,3600,9,tech_formation
5,advanced_arms,高阶军备,military,4,,4,formation_doctrine,解锁三族高阶专精兵种,player,7200,15,tech_infantry
6,field_logistics,野战载运,military,3,,3,rapid_march,部队载运能力提升,player,3600,9,tech_logistics
7,siege_engineering,攻城工程,military,4,,4,field_logistics,解锁攻城器械,player,7200,15,tech_siege
8,agronomy,农政基础,production,1,,1,,粮食产率提升,village,900,2,tech_plow
9,open_warehouse,露天仓库,production,2,production,2,agronomy,允许资源至基础容量200%且溢出停产,village,1800,5,tech_warehouse
10,standard_methods,标准工法,production,2,production,2,agronomy,建造与训练效率提升,village,1800,5,tech_architecture
11,spoils_management,战利品整备,production,3,,3,open_warehouse,部队载运能力提升,village,3600,9,tech_storage
12,advanced_storage,大宗仓储,production,4,,4,spoils_management,基础仓储容量提升,village,7200,15,tech_storage
13,architecture,工程学,production,3,,3,standard_methods,建造效率进一步提升,village,3600,9,tech_architecture
14,workshop_organization,兵工组织,production,4,,4,architecture,解锁兵工厂,village,7200,15,tech_workshop
15,civic_order,公民制度,social,1,,1,,人口增长基础制度,village,900,2,tech_laws
16,universal_conscription,全民皆兵,social,2,social,2,civic_order,动员上限+10个百分点,player,1800,5,tech_conscription
17,frontier_charter,边地拓荒,social,2,social,2,civic_order,解锁拓荒者建村远征队,player,1800,5,tech_frontier
18,imperial_authority,帝国权威,social,3,,3,universal_conscription,所有村庄人口硬上限+10%,player,3600,9,tech_imperial
19,exploration_charter,探索特许,social,3,,3,frontier_charter,解锁探险家协会,village,3600,9,tech_exploration
20,levy_reform,征募改革,social,4,,4,imperial_authority,训练效率提升,player,7200,15,tech_laws
21,colonial_administration,殖民治理,social,4,,4,exploration_charter,新村科研效率提升,player,7200,15,tech_frontier
