techCode,order,effectType,effectKey,effectValue,cap
#科技代码,顺序,效果类型,目标,效果值,上限
military_drill,1,combat_atk,all,0.05,0.05
military_drill,2,combat_def,all,0.05,0.05
standing_army,1,train_speed,all,0.15,0.15
rapid_march,1,mechanism,rapid_raid,0.25,0.25
formation_doctrine,1,combat_atk,form:melee,0.10,0.10
formation_doctrine,2,combat_def,form:melee,0.10,0.10
advanced_arms,1,unit_unlock,roman_veteran_cohort,1,1
advanced_arms,2,unit_unlock,gaul_warboar_rider,1,1
advanced_arms,3,unit_unlock,teuton_blacksteel_guard,1,1
field_logistics,1,carry_cap,all,0.20,0.20
siege_engineering,1,unit_unlock,ram,1,1
siege_engineering,2,unit_unlock,gaulram,1,1
siege_engineering,3,unit_unlock,teuram,1,1
siege_engineering,4,unit_unlock,catapult,1,1
siege_engineering,5,unit_unlock,gcaultrebuchet,1,1
siege_engineering,6,unit_unlock,teucatapult,1,1
agronomy,1,resource_rate,crop,0.15,0.15
open_warehouse,1,mechanism,storage_overflow,1,1
standard_methods,1,build_speed,all,0.10,0.10
standard_methods,2,train_speed,all,0.10,0.10
spoils_management,1,carry_cap,all,0.15,0.15
advanced_storage,1,storage_cap,wood|clay|iron|crop,0.25,0.25
architecture,1,build_speed,all,0.15,0.15
workshop_organization,1,building_unlock,workshop,1,1
civic_order,1,pop_growth,all,0.10,0.10
universal_conscription,1,mechanism,universal_conscription,0.10,0.10
frontier_charter,1,unit_unlock,settler,1,1
frontier_charter,2,unit_unlock,gaulsettler,1,1
frontier_charter,3,unit_unlock,teusettler,1,1
imperial_authority,1,mechanism,imperial_pop_boost,0.10,0.10
exploration_charter,1,building_unlock,explorers_guild,1,1
levy_reform,1,train_speed,all,0.15,0.15
colonial_administration,1,mechanism,new_village_research,0.10,0.10
