id,conditionCode,kind,params,recipient,order
#稳定奖励ID,条件代码,奖励类型,参数,接收者(participant/designated_recipient),顺序
sr-c01-res,c01,grant_resources,wood:300|clay:300|iron:300|crop:300,participant,1
sr-c02-gold,c02,grant_resources,gold:200,participant,1
sr-c02-rp,c02,grant_research_points,5,participant,2
sr-c03-rep,c03,adjust_reputation,1,participant,1
sr-c03-crop,c03,grant_resources,crop:500,participant,2
sr-c04-random,c04,grant_random_resource,500,participant,1
sr-c05-gold,c05,grant_resources,gold:300,participant,1
sr-c05-rep,c05,adjust_reputation,1,participant,2
sr-c06-gold,c06,grant_resources,gold:500,participant,1
sr-c06-rp,c06,grant_research_points,5,participant,2
sr-c07-gold,c07,grant_resources,gold:300,participant,1
sr-c07-rp,c07,grant_research_points,10,participant,2
sr-c08-random,c08,grant_random_resource,800,participant,1
sr-c08-rep,c08,adjust_reputation,1,participant,2
sr-c09-gold,c09,grant_resources,gold:600,participant,1
sr-c09-rep,c09,adjust_reputation,2,participant,2
sr-c10-gold,c10,grant_resources,gold:700,participant,1
sr-c11-random,c11,grant_random_resource,1000,participant,1
sr-c11-rp,c11,grant_research_points,10,participant,2
sr-c12-gold,c12,grant_resources,gold:500,participant,1
sr-c12-random,c12,grant_random_resource,1000,participant,2
sr-c13-gold,c13,grant_resources,gold:500,participant,1
sr-c13-rp,c13,grant_research_points,10,participant,2
sr-c14-rp,c14,grant_research_points,15,participant,1
sr-c14-vision,c14,grant_temporary_army_vision,1:3600,participant,2
sr-c15-gold,c15,grant_resources,gold:800,participant,1
sr-c16-gold,c16,grant_resources,gold:500,participant,1
sr-c16-rep,c16,adjust_reputation,1,participant,2
sr-c17-random,c17,grant_random_resource,1000,participant,1
sr-c18-gold,c18,grant_resources,gold:1000,participant,1
sr-c18-horn,c18,grant_treasure,breach_horn,designated_recipient,2
sr-c19-rp,c19,grant_research_points,20,participant,1
sr-c19-prism,c19,grant_treasure,watcher_prism,designated_recipient,2
sr-c20-gold,c20,grant_resources,gold:1000,participant,1
sr-c20-seal,c20,grant_treasure,trade_sanctum_seal,designated_recipient,2
sr-c21-gold,c21,grant_resources,gold:800,participant,1
sr-c21-rp,c21,grant_research_points,10,participant,2
sr-c21-medallion,c21,grant_treasure,resonance_medallion,designated_recipient,3
sr-c22-gold,c22,grant_resources,gold:1200,participant,1
sr-c22-rep,c22,adjust_reputation,2,participant,2
sr-c22-seal,c22,grant_treasure,hunter_king_seal,designated_recipient,3
