id,code,name,category,completionMode,instances,refreshSec,kind,params,pveTemplateCode,puzzleCode,minPlayers,minPlayerPop,minContributionShare,personalCooldownSec,pairCooldownSec,rewardGroup,clueGroup,description
#稳定ID,稳定条件代码,显示名,难度组(low/repeatable/unique),完成方式(global_once/personal_repeat/team_once),同时实例数,刷新秒数,条件类型,类型参数,动态PvE模板,谜题代码,最少参与玩家,每人最少有效人口,最少贡献比例,个人冷却秒数,同对手PvP冷却秒数,奖励组,线索组,说明
1,c01,遗迹初见,low,global_once,1,0,investigate,holdSec:60,,,1,0,0,0,0,c01,c01,抵达遗迹后连续勘察六十秒
2,c02,残碑释读,low,global_once,1,0,puzzle,symbols:3|unit:scout_or_adventurer,,sanctum_simple_rune,1,1,0,0,0,c02,c02,侦察兵或冒险者停留后破解三符文
3,c03,失落信使,low,global_once,1,0,escort,escortTo:safe_inn|pursuerPop:50,sanctum_pursuers,,1,0,0,0,0,c03,c03,击败追兵并把失落信使护送到安全酒馆
4,c04,小祭坛供奉,low,global_once,1,0,resource_delivery,totalBasicResources:1000,,,1,0,0,0,0,c04,c04,商队实际交付合计一千基础资源
5,c05,边境哨所,low,global_once,1,0,pve_clear,killPop:80,sanctum_watchpost,,1,0,0,0,0,c05,c05,清理一处八十人口的公共哨所
6,c06,学者同行,low,global_once,1,0,escort,crossRegion:1|escort:scholar,,,1,0,0,0,0,c06,c06,护送学者跨越一个地图区域
7,c07,旧地图拼片,low,global_once,1,0,investigate,nodes:2|submit:1,,,1,0,0,0,0,c07,c07,调查两处旧地图节点并提交拼片
8,c08,精英营地,repeatable,personal_repeat,3,900,pve_clear,killPop:300,sanctum_elite_camp,,1,0,0,1800,0,c08,c08,清理三百人口的公共精英营地
9,c09,失序军营,repeatable,personal_repeat,2,1200,pve_clear,killPop:600,sanctum_war_camp,,1,0,0,1800,0,c09,c09,清理六百人口的混编失序军营
10,c10,圣痕争夺,repeatable,personal_repeat,2,900,pvp_control,enemyInitialPop:100|enemyKilledPop:50|holdSec:60,,,1,0,0,1800,21600,c10,c10,在指定争夺点击败足量敌军并控制圣痕
11,c11,远方补给,repeatable,personal_repeat,2,900,resource_delivery,totalBasicResources:8000,,,1,0,0,1800,0,c11,c11,用商队实际交付八千基础资源
12,c12,护送遗物商队,repeatable,personal_repeat,2,1200,caravan_escort,cargo:4000|deliveredMin:2000,,,1,0,0,1800,0,c12,c12,护送活动商队并至少保住两千货物
13,c13,夺取遗物货箱,repeatable,personal_repeat,2,1200,caravan_raid,cargoMin:2000|deliver:1,,,1,0,0,1800,0,c13,c13,夺取至少两千活动货物并把货物送回村庄
14,c14,远域测绘,repeatable,personal_repeat,2,1200,investigate,nodes:4|regions:3,,,1,0,0,1800,0,c14,c14,完成跨至少三地图区域的四处测绘
15,c15,旋转符文,repeatable,personal_repeat,2,1200,puzzle,nodes:2|rotating:1,,sanctum_rotating_rune,1,1,0,1800,0,c15,c15,完成两处需要推理的旋转符文节点
16,c16,共战清场,repeatable,personal_repeat,1,1800,cooperative_pve,killPop:800,sanctum_coop_elite,,2,50,0.2,1800,0,c16,c16,两名玩家各带足量部队共同清理精英军团
17,c17,同步献祭,repeatable,personal_repeat,1,1800,synchronous_ritual,resourceEach:4000|shrines:2|readyWindowSec:120,,,2,0,0,1800,0,c17,c17,两名玩家向不同祭坛同步运送资源
18,c18,天门巨兽,unique,global_once,1,0,pve_clear,killPop:1200,sanctum_beast,,1,0,0,0,0,c18,c18,击败唯一的天门巨兽
19,c19,禁制终解,unique,global_once,1,0,puzzle,regions:3|steps:5,,sanctum_final_rune,1,1,0,0,0,c19,c19,搜集三地铭文并完成五步禁制终解
20,c20,无损护运,unique,global_once,1,0,caravan_escort,cargo:8000|deliveredMin:8000|noLoss:1,,,1,0,0,0,0,c20,c20,让唯一的八千货物车队无损抵达
21,c21,三方共鸣,unique,team_once,1,0,synchronous_ritual,resourceEach:6000|shrines:3|guardPop:50|holdSec:300,,,3,50,0,0,0,c21,c21,三名玩家在三座祭坛维持五分钟共鸣
22,c22,逆势夺旗,unique,global_once,1,0,pvp_control,attackerMaxShare:0.6|defenderMinPop:300|enemyKilledPop:150|holdSec:180,sanctum_banner_guard,,1,0,0,0,0,c22,c22,在兵力劣势下夺取唯一的逆势军旗
