id,code,name,icon,category,rarity,effectType,effectValue,priceGold,dropRate,applyType,equipCategory,stackGroup,effectCap,uniqueEffect,reputationValue
#数字ID,代码,显示名,图标,类别,稀有度,效果类型,效果值,NPC售价,掉率,应用方式,生效槽类别,叠加组,效果上限百分比,同名唯一生效
1,chainsaw,电锯,trs_chainsaw,economic,common,woodRate,5,60,0.08,passive,economic,woodRate,50,1
2,fine_axe,精工斧,trs_fineaxe,economic,rare,clayRate,10,180,0.04,passive,economic,clayRate,50,1
3,harvest_totem,丰收图腾,trs_totem,economic,epic,allResRate,12,500,0.015,passive,economic,allResRate,50,1
4,master_hammer,神匠之锤,trs_hammer,economic,legendary,allResRate,25,1500,0.005,passive,economic,allResRate,50,1
5,war_flag,军旗,trs_warflag,military,common,atkMult,5,70,0.08,passive,military,atkMult,50,1
6,iron_wall_medal,铁壁勋章,trs_medal,military,rare,defMult,10,200,0.04,passive,military,defMult,50,1
7,spear_of_ares,战神之矛,trs_spear,military,epic,atkMult,18,600,0.015,passive,military,atkMult,50,1
8,dragon_banner,巨龙战旗,trs_banner,military,legendary,atkMult,30,1800,0.005,passive,military,atkMult,50,1
9,holy_water,圣水,trs_holywater,social,common,popGrowth,5,50,0.08,passive,social,popGrowth,50,1
10,elder_staff,族长权杖,trs_staff,social,rare,popGrowth,12,160,0.04,passive,social,popGrowth,50,1
11,tree_of_life,生命之树,trs_tree,social,epic,popGrowth,22,480,0.015,passive,social,popGrowth,50,1
12,blessing_of_gods,众神祝福,trs_blessing,social,legendary,popGrowth,40,1400,0.004,passive,social,popGrowth,50,1
13,money_bag,钱袋子,trs_moneybag,special,common,instantGold,300,40,0.10,instant,special,instantGold,0,1
14,mystery_chest,神秘宝箱,trs_chest,special,rare,instantGold,900,150,0.05,instant,special,instantGold,0,1
15,philosophers_stone,贤者之石,trs_stone,special,epic,instantGold,2500,600,0.015,instant,special,instantGold,0,1
16,golden_idol,黄金神像,trs_idol,special,legendary,instantGold,8000,2000,0.004,instant,special,instantGold,0,1
17,warrior_token,勇士之证,trs_medal,special,epic,atkMult,5,0,0,passive,special,atkMult,50,1
18,ritual_altar,祭祀台,trs_altar,special,epic,ritualBuff,25,0,0,instant,special,ritualBuff,50,1
19,bole,伯乐,trs_bole,military,legendary,cavalryTrainSpeed,50,3000,0.004,instant,military,cavalryTrainSpeed,50,1
20,spiritual_food,精神食粮,trs_food,economic,rare,soldierFoodReduce,1,250,0.04,passive,economic,soldierFoodReduce,0,0
21,victory_flag,胜利的旗帜,trs_warflag,military,epic,victoryFlag,10,0,0,passive,military,victoryFlag,100,1
22,natalie,娜塔莉,trs_natalie,special,rare,popGrowth,10,0,0,passive,special,natalie,50,1,-1
23,secret_note,秘密字条,trs_note,special,common,reportCoords,0,0,0,instant,special,secret_note,0,1
24,captured_natalies,被囚禁的娜塔莉们,trs_natalie,special,rare,popGrowth,20,0,0,passive,special,captured_natalies,50,1,-2
25,honest_heart,正直的心,trs_blessing,special,epic,honestHeart,10,0,0,passive,special,honestHeart,50,1,0
